Llistat del pla docent per estudi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Centre: ;;;6 - Facultat de Ciències, Tecnologia i Enginyeries;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Estudi: ;;;Tots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Curs acadèmic: ;;;2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Identificador element;Centre;Descripció del Centre;Pla;Descripció del Pla;Codi de l'assignatura;Assignatura;Curs;Tipus de l?assignatura;Crèdits ECTS;Classe;Categoria;Tipologia;Grup;Observacions;Estudiants matriculats;places;Estudiants previstos assignatura;Estudiants màxim propis grup;Hores previstes per grup;Tipus del període;Valor del període;Torn;Idioma;Modalitat;Matricula Out;Altres plans de l?assignatura;Criteri d?assignació;Grup pare;EstudiGrup pare;Macrogrups fills;Matriculats fills;Identificador elementFill1;Identificador elementFill2;Identificador elementFill3;Identificador elementFill4;Identificador elementFill5;Identificador elementFill6;Identificador elementFill7;Identificador elementFill8;Identificador elementFill9;Identificador elementFill10;Identificador elementFill11;Identificador elementFill12;Identificador elementFill13;Identificador elementFill14;Identificador elementFill15;Identificador elementFill16;Identificador elementFill17;Identificador elementFill18;Identificador elementFill19;Identificador elementFill20;Identificador elementFill21;Identificador elementFill22;Identificador elementFill23
27_13042_11;6;Facultat de Ciències, Tecnologia i Enginyeries;27;Biotecnologia;13042;Química I;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Grup Classe;11; ;67;85;50;85;0;S;1;Torn Matí;Català;Presencial;0;;Alternància;0;30_13419_11;0;0;;;;;;;;;;;;;;;;;;;;;;;
27_13042_12;6;Facultat de Ciències, Tecnologia i Enginyeries;27;Biotecnologia;13042;Química I;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Grup Classe;12; ;0;0;50;0;0;S;1;Torn Matí;Català;Presencial;0;;Alternància;0;30_13419_12;0;0;;;;;;;;;;;;;;;;;;;;;;;
27_13042_13;6;Facultat de Ciències, Tecnologia i Enginyeries;27;Biotecnologia;13042;Química I;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Grup Classe;13; ;21;40;50;40;0;S;1;Torn Matí;Català;Presencial;0;;Alternància;0;30_13419_13;0;0;;;;;;;;;;;;;;;;;;;;;;;
27_13042_8888;6;Facultat de Ciències, Tecnologia i Enginyeries;27;Biotecnologia;13042;Química I;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Examen;8888; ;0;0;50;0;0;S;1;Torn Matí;Català;Presencial;0;;Manual;0;30_13419_8888;0;0;;;;;;;;;;;;;;;;;;;;;;;
27_13043_11;6;Facultat de Ciències, Tecnologia i Enginyeries;27;Biotecnologia;13043;Biologia Vegetal;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Grup Classe;11; ;73;80;40;80;0;S;2;Torn Matí;Català;Presencial;0;;Alternància;0;30_13408_11;0;0;;;;;;;;;;;;;;;;;;;;;;;
27_13043_12;6;Facultat de Ciències, Tecnologia i Enginyeries;27;Biotecnologia;13043;Biologia Vegetal;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Grup Classe;12; ;0;0;40;0;0;S;2;Torn Matí;Català;Presencial;0;;Alternància;0;30_13408_12;0;0;;;;;;;;;;;;;;;;;;;;;;;
27_13044_11;6;Facultat de Ciències, Tecnologia i Enginyeries;27;Biotecnologia;13044;Bioquímica;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Grup Classe;11; ;73;90;40;90;0;S;2;Torn Matí;Català;Presencial;0;;Alternància;0;30_13406_11;0;0;;;;;;;;;;;;;;;;;;;;;;;
27_13044_12;6;Facultat de Ciències, Tecnologia i Enginyeries;27;Biotecnologia;13044;Bioquímica;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Grup Classe;12; ;0;0;40;0;0;S;2;Torn Matí;Català;Presencial;0;;Alternància;0;30_13406_12;0;0;;;;;;;;;;;;;;;;;;;;;;;
27_13044_13;6;Facultat de Ciències, Tecnologia i Enginyeries;27;Biotecnologia;13044;Bioquímica;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Grup Classe;13; ;0;40;40;40;0;S;2;Torn Matí;Català;Presencial;0;;Manual;0;30_13406_13;0;0;;;;;;;;;;;;;;;;;;;;;;;
27_13045_11;6;Facultat de Ciències, Tecnologia i Enginyeries;27;Biotecnologia;13045;Química II;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Grup Classe;11; ;65;75;50;75;0;S;2;Torn Matí;Català;Presencial;0;;Alternància;0;30_13393_11;0;0;;;;;;;;;;;;;;;;;;;;;;;
27_13045_12;6;Facultat de Ciències, Tecnologia i Enginyeries;27;Biotecnologia;13045;Química II;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Grup Classe;12; ;0;0;50;0;0;S;2;Torn Matí;Català;Presencial;0;;Alternància;0;30_13393_12;0;0;;;;;;;;;;;;;;;;;;;;;;;
